Name: Expo Drive, Instruction: Head northwest on Expo Drive, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 122.4 meters, Time: 88.2 seconds
Name: -, Instruction: Turn left, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 136.9 meters, Time: 98.6 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 201.3 meters, Time: 145.0 seconds
Name: -, Instruction: Turn right, Distance: 75.9 meters, Time: 54.7 seconds
Name: -, Instruction: Turn left, Distance: 399.2 meters, Time: 287.4 seconds
Name: -, Instruction: Turn right, Distance: 33.8 meters, Time: 24.3 seconds
Name: Simei Park Connector, Instruction: Keep left onto Simei Park Connector, Distance: 35.8 meters, Time: 25.8 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: Simei Park Connector, Instruction: Turn right onto Simei Park Connector, Distance: 36.4 meters, Time: 26.2 seconds
Name: Simei Park Connector, Instruction: Turn right onto Simei Park Connector, Distance: 6.6 meters, Time: 4.8 seconds
Name: Koh Sek Lim Road, Instruction: Turn right onto Koh Sek Lim Road, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Arrive at Koh Sek Lim Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
