Name: Gade Drive, Instruction: Head east on Gade Drive, Distance: 183.9 meters, Time: 132.4 seconds
Name: Nash Drive, Instruction: Turn right onto Nash Drive, Distance: 470.2 meters, Time: 338.5 seconds
Name: Wandle Avenue, Instruction: Turn right onto Wandle Avenue, Distance: 110.5 meters, Time: 79.6 seconds
Name: -, Instruction: Turn right, Distance: 78.5 meters, Time: 56.6 seconds
Name: -, Instruction: Turn left, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.6 seconds
Name: Tilbury Drive, Instruction: Turn left onto Tilbury Drive, Distance: 254.4 meters, Time: 183.2 seconds
Name: Tilbury Drive, Instruction: Turn slight left onto Tilbury Drive, Distance: 89.3 meters, Time: 64.3 seconds
Name: Bayford Avenue, Instruction: Turn right onto Bayford Avenue, Distance: 155.6 meters, Time: 112.0 seconds
Name: -, Instruction: Keep right, Distance: 42.0 meters, Time: 30.2 seconds
Name: -, Instruction: Turn right, Distance: 2.2 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: Stanley Greene Boulevard, Instruction: Turn right onto Stanley Greene Boulevard, Distance: 35.2 meters, Time: 25.4 seconds
Name: -, Instruction: Arrive at Stanley Greene Boulevard, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
