Name: Kimberley Street, Instruction: Head south on Kimberley Street, Distance: 270.0 meters, Time: 194.4 seconds
Name: C.J. Langenhoven Road, Instruction: Turn left onto C.J. Langenhoven Road, Distance: 530.7 meters, Time: 382.1 seconds
Name: Alice Street, Instruction: Turn left onto Alice Street, Distance: 126.9 meters, Time: 91.4 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 86.8 meters, Time: 62.5 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.4 seconds
Name: Milton Road, Instruction: Turn right onto Milton Road, Distance: 241.4 meters, Time: 173.8 seconds
Name: Hamilton Street, Instruction: Turn left onto Hamilton Street, Distance: 13.3 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 301.8 meters, Time: 217.3 seconds
Name: Riebeek Street, Instruction: Turn right onto Riebeek Street, Distance: 13.4 meters, Time: 9.6 seconds
Name: Milton Road, Instruction: Turn left onto Milton Road, Distance: 145.1 meters, Time: 104.4 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 34.2 meters, Time: 24.6 seconds
Name: Milton Road, Instruction: Turn left onto Milton Road, Distance: 663.0 meters, Time: 477.3 seconds
Name: -, Instruction: Arrive at Milton Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
