Name: Weidengasse, Instruction: Head east on Weidengasse, Distance: 110.8 meters, Time: 79.8 seconds
Name: An der Isarau, Instruction: Turn left onto An der Isarau, Distance: 159.9 meters, Time: 115.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 52.2 meters, Time: 37.6 seconds
Name: -, Instruction: Turn left, Distance: 95.3 meters, Time: 68.6 seconds
Name: Moarstraße, Instruction: Turn left onto Moarstraße, Distance: 99.2 meters, Time: 71.4 seconds
Name: -, Instruction: Turn slight right, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 135.8 meters, Time: 97.8 seconds
Name: Krausstraße, Instruction: Turn left onto Krausstraße, Distance: 612.0 meters, Time: 440.7 seconds
Name: -, Instruction: Turn slight right, Distance: 653.9 meters, Time: 470.8 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: Münchener Straße, Instruction: Turn left onto Münchener Straße, Distance: 55.9 meters, Time: 40.3 seconds
Name: Münchener Straße, Instruction: Enter the roundabout and take the 1st exit onto Münchener Straße, Distance: 51.3 meters, Time: 36.9 seconds
Name: -, Instruction: Turn right, Distance: 296.1 meters, Time: 213.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
