Name: Fockensteinstraße, Instruction: Head northeast on Fockensteinstraße, Distance: 87.1 meters, Time: 62.7 seconds
Name: Deisenhofener Straße, Instruction: Turn right onto Deisenhofener Straße, Distance: 134.3 meters, Time: 96.7 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.1 seconds
Name: Deisenhofener Straße, Instruction: Turn right onto Deisenhofener Straße, Distance: 253.9 meters, Time: 182.8 seconds
Name: Schlierseestraße, Instruction: Turn left onto Schlierseestraße, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Turn left, Distance: 44.9 meters, Time: 32.3 seconds
Name: -, Instruction: Turn right, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Keep left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn slight left, Distance: 45.2 meters, Time: 32.5 seconds
Name: -, Instruction: Keep left, Distance: 35.2 meters, Time: 25.4 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Keep right, Distance: 121.6 meters, Time: 87.6 seconds
Name: Bad-Dürkheimer-Straße, Instruction: Turn sharp right onto Bad-Dürkheimer-Straße, Distance: 126.8 meters, Time: 91.3 seconds
Name: Pfälzer-Wald-Straße, Instruction: Turn left onto Pfälzer-Wald-Straße, Distance: 193.6 meters, Time: 139.4 seconds
Name: Ruppertsberger Straße, Instruction: Turn right onto Ruppertsberger Straße, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn left, Distance: 104.8 meters, Time: 75.4 seconds
Name: -, Instruction: Turn left, Distance: 59.3 meters, Time: 42.7 seconds
Name: -, Instruction: Turn left, Distance: 75.6 meters, Time: 54.4 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
