Name: Sandown Drive, Instruction: Head northeast on Sandown Drive, Distance: 179.9 meters, Time: 129.5 seconds
Name: -, Instruction: Turn right, Distance: 158.7 meters, Time: 114.3 seconds
Name: -, Instruction: Turn left, Distance: 917.2 meters, Time: 660.4 seconds
Name: -, Instruction: Turn right, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn left, Distance: 54.7 meters, Time: 39.4 seconds
Name: -, Instruction: Keep right, Distance: 242.2 meters, Time: 174.4 seconds
Name: -, Instruction: Turn right, Distance: 123.4 meters, Time: 88.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 107.2 meters, Time: 77.2 seconds
Name: Downberg Road, Instruction: Turn right onto Downberg Road, Distance: 165.6 meters, Time: 119.2 seconds
Name: -, Instruction: Turn left, Distance: 36.6 meters, Time: 26.3 seconds
Name: -, Instruction: Turn left, Distance: 63.0 meters, Time: 45.3 seconds
Name: -, Instruction: Turn right, Distance: 43.0 meters, Time: 31.0 seconds
Name: Coniston Place, Instruction: Turn right onto Coniston Place, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Turn left, Distance: 54.6 meters, Time: 39.3 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
