Name: شارع رؤوف رأفت, Instruction: Head west on شارع رؤوف رأفت, Distance: 94.6 meters, Time: 68.1 seconds
Name: -, Instruction: Keep right, Distance: 40.7 meters, Time: 29.3 seconds
Name: شارع بدوي سعفان, Instruction: Turn slight right onto شارع بدوي سعفان, Distance: 28.3 meters, Time: 20.4 seconds
Name: شارع بدوي سعفان, Instruction: Continue straight onto شارع بدوي سعفان, Distance: 107.6 meters, Time: 77.5 seconds
Name: -, Instruction: Keep right, Distance: 35.0 meters, Time: 25.2 seconds
Name: شارع دكتور حسين بيكار, Instruction: Turn slight right onto شارع دكتور حسين بيكار, Distance: 192.6 meters, Time: 138.7 seconds
Name: -, Instruction: Turn right, Distance: 96.6 meters, Time: 69.5 seconds
Name: -, Instruction: Turn left, Distance: 121.3 meters, Time: 87.3 seconds
Name: طريق الشباب, Instruction: Turn left onto طريق الشباب, Distance: 76.5 meters, Time: 55.1 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 62.9 meters, Time: 45.3 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn slight right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 45.2 meters, Time: 32.5 seconds
Name: طريق السادات, Instruction: Enter the roundabout and take the 1st exit onto طريق السادات, Distance: 32.6 meters, Time: 23.5 seconds
Name: طريق السادات الجانبى, Instruction: Turn right onto طريق السادات الجانبى, Distance: 22.7 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 144.9 meters, Time: 104.3 seconds
Name: شارع عبد القادر حلمي, Instruction: Turn right onto شارع عبد القادر حلمي, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 102.7 meters, Time: 74.0 seconds
Name: -, Instruction: Turn right, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Turn left, Distance: 54.9 meters, Time: 39.5 seconds
Name: -, Instruction: Turn right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 74.5 meters, Time: 53.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn right, Distance: 64.2 meters, Time: 46.2 seconds
Name: -, Instruction: Keep left, Distance: 18.6 meters, Time: 13.4 seconds
Name: شارع محمد فريد, Instruction: Turn left onto شارع محمد فريد, Distance: 14.4 meters, Time: 10.4 seconds
Name: شارع صفية زغلول, Instruction: Turn right onto شارع صفية زغلول, Distance: 124.5 meters, Time: 89.7 seconds
Name: شارع صبرى ابو علم, Instruction: Turn left onto شارع صبرى ابو علم, Distance: 138.3 meters, Time: 99.6 seconds
Name: -, Instruction: Turn right, Distance: 62.2 meters, Time: 44.8 seconds
Name: شارع جول جمال, Instruction: Turn left onto شارع جول جمال, Distance: 16.7 meters, Time: 12.0 seconds
Name: شارع عبد العزيز باشا فهمي, Instruction: Turn right onto شارع عبد العزيز باشا فهمي, Distance: 264.3 meters, Time: 190.3 seconds
Name: -, Instruction: Arrive at شارع عبد العزيز باشا فهمي, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
