Name: Taman Selamat, Instruction: Head east on Taman Selamat, Distance: 157.5 meters, Time: 113.4 seconds
Name: -, Instruction: Turn left, Distance: 43.4 meters, Time: 31.3 seconds
Name: -, Instruction: Turn left, Distance: 87.2 meters, Time: 62.8 seconds
Name: -, Instruction: Turn right, Distance: 150.3 meters, Time: 108.2 seconds
Name: -, Instruction: Turn right, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 208.8 meters, Time: 150.4 seconds
Name: -, Instruction: Turn right, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn left, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 522.6 meters, Time: 376.3 seconds
Name: -, Instruction: Turn right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 13.2 meters, Time: 9.5 seconds
Name: Chai Chee Street, Instruction: Turn left onto Chai Chee Street, Distance: 89.1 meters, Time: 64.1 seconds
Name: -, Instruction: Turn right, Distance: 282.7 meters, Time: 203.5 seconds
Name: -, Instruction: Turn left, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: Bedok North Avenue 1, Instruction: Turn left onto Bedok North Avenue 1, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Turn right, Distance: 17.8 meters, Time: 12.8 seconds
Name: Bedok North Avenue 1, Instruction: Turn slight left onto Bedok North Avenue 1, Distance: 47.0 meters, Time: 33.8 seconds
Name: -, Instruction: Turn right, Distance: 397.2 meters, Time: 286.0 seconds
Name: -, Instruction: Turn left, Distance: 134.4 meters, Time: 96.8 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
