Name: Herzogstandstraße, Instruction: Head east on Herzogstandstraße, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 66.9 meters, Time: 48.2 seconds
Name: Heimgartenstraße, Instruction: Turn left onto Heimgartenstraße, Distance: 348.3 meters, Time: 250.8 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 115.1 meters, Time: 82.9 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: Bahnstraße, Instruction: Turn right onto Bahnstraße, Distance: 20.7 meters, Time: 14.9 seconds
Name: Drosselweg, Instruction: Turn right onto Drosselweg, Distance: 513.3 meters, Time: 369.6 seconds
Name: Mauerseglerstraße, Instruction: Turn left onto Mauerseglerstraße, Distance: 37.6 meters, Time: 27.1 seconds
Name: -, Instruction: Turn right, Distance: 893.8 meters, Time: 643.5 seconds
Name: -, Instruction: Turn right, Distance: 50.8 meters, Time: 36.5 seconds
Name: Windbauerstraße, Instruction: Turn sharp right onto Windbauerstraße, Distance: 177.2 meters, Time: 127.6 seconds
Name: -, Instruction: Arrive at Windbauerstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
