Name: Rue de Benfleet, Instruction: Head northwest on Rue de Benfleet, Distance: 176.0 meters, Time: 126.7 seconds
Name: Rue de la République, Instruction: Turn left onto Rue de la République, Distance: 1121.5 meters, Time: 807.5 seconds
Name: Rue de Romainville, Instruction: Keep right onto Rue de Romainville, Distance: 272.6 meters, Time: 196.2 seconds
Name: Rue du Centre, Instruction: Turn right onto Rue du Centre, Distance: 126.1 meters, Time: 90.8 seconds
Name: Rue Romain Rolland, Instruction: Turn sharp left onto Rue Romain Rolland, Distance: 159.4 meters, Time: 114.7 seconds
Name: Rue Jean Poulmarch, Instruction: Turn slight right onto Rue Jean Poulmarch, Distance: 90.3 meters, Time: 65.0 seconds
Name: -, Instruction: Turn left, Distance: 211.7 meters, Time: 152.4 seconds
Name: -, Instruction: Turn right, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 58.3 meters, Time: 42.0 seconds
Name: -, Instruction: Turn slight right, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Keep left, Distance: 84.3 meters, Time: 60.7 seconds
Name: -, Instruction: Turn slight right, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn slight left, Distance: 92.2 meters, Time: 66.4 seconds
Name: -, Instruction: Turn slight left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
