Name: Montana Court, Instruction: Head northeast on Montana Court, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 177.7 meters, Time: 127.9 seconds
Name: Scottsdale Street, Instruction: Turn left onto Scottsdale Street, Distance: 94.0 meters, Time: 67.7 seconds
Name: Phoenix Avenue, Instruction: Turn left onto Phoenix Avenue, Distance: 211.4 meters, Time: 152.2 seconds
Name: -, Instruction: Turn right, Distance: 59.6 meters, Time: 42.9 seconds
Name: -, Instruction: Turn right, Distance: 219.2 meters, Time: 157.8 seconds
Name: -, Instruction: Turn right, Distance: 172.9 meters, Time: 124.5 seconds
Name: Cotton Grove, Instruction: Turn right onto Cotton Grove, Distance: 301.1 meters, Time: 216.8 seconds
Name: Majestic Drive, Instruction: Turn left onto Majestic Drive, Distance: 57.9 meters, Time: 41.7 seconds
Name: Majestic Drive, Instruction: Turn right onto Majestic Drive, Distance: 22.7 meters, Time: 16.3 seconds
Name: Bowenia Court, Instruction: Enter the roundabout and take the 1st exit onto Bowenia Court, Distance: 105.4 meters, Time: 75.9 seconds
Name: Palmetto Close, Instruction: Turn left onto Palmetto Close, Distance: 132.1 meters, Time: 95.1 seconds
Name: Butia Way, Instruction: Turn right onto Butia Way, Distance: 64.0 meters, Time: 46.1 seconds
Name: -, Instruction: Keep left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn slight right, Distance: 240.9 meters, Time: 173.4 seconds
Name: -, Instruction: Turn left, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 50.5 meters, Time: 36.3 seconds
Name: -, Instruction: Turn left, Distance: 172.2 meters, Time: 124.0 seconds
Name: -, Instruction: Turn right, Distance: 47.5 meters, Time: 34.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
