Name: Dahlia Street, Instruction: Head west on Dahlia Street, Distance: 76.0 meters, Time: 54.7 seconds
Name: Alpha Road, Instruction: Turn right onto Alpha Road, Distance: 151.4 meters, Time: 109.0 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 259.9 meters, Time: 187.1 seconds
Name: -, Instruction: Keep right, Distance: 20.6 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 34.0 meters, Time: 24.5 seconds
Name: -, Instruction: Turn left, Distance: 136.8 meters, Time: 98.5 seconds
Name: Prospect Canal Shared Path, Instruction: Turn left onto Prospect Canal Shared Path, Distance: 192.1 meters, Time: 138.3 seconds
Name: Grey Box Shared Path, Instruction: Turn right onto Grey Box Shared Path, Distance: 203.5 meters, Time: 146.5 seconds
Name: Silverthorn Shared Path, Instruction: Turn sharp left onto Silverthorn Shared Path, Distance: 132.6 meters, Time: 95.5 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 157.1 meters, Time: 113.1 seconds
Name: -, Instruction: Turn left, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Continue straight, Distance: 85.1 meters, Time: 61.2 seconds
Name: -, Instruction: Turn slight left, Distance: 197.2 meters, Time: 142.0 seconds
Name: -, Instruction: Continue straight, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
