Name: Cross Lane, Instruction: Head southwest on Cross Lane, Distance: 6.6 meters, Time: 4.8 seconds
Name: Cross Street, Instruction: Turn left onto Cross Street, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn left, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: Kiaora Road, Instruction: Turn right onto Kiaora Road, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Turn left, Distance: 50.3 meters, Time: 36.2 seconds
Name: Leura Road, Instruction: Turn slight left onto Leura Road, Distance: 153.3 meters, Time: 110.4 seconds
Name: Carlotta Road, Instruction: Turn left onto Carlotta Road, Distance: 556.5 meters, Time: 400.7 seconds
Name: Suttie Road, Instruction: Turn right onto Suttie Road, Distance: 183.7 meters, Time: 132.2 seconds
Name: Northland Road, Instruction: Enter the roundabout and take the 2nd exit onto Northland Road, Distance: 379.6 meters, Time: 273.3 seconds
Name: -, Instruction: Turn right, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Keep right, Distance: 51.9 meters, Time: 37.4 seconds
Name: -, Instruction: Turn left, Distance: 66.9 meters, Time: 48.1 seconds
Name: Cooper Creek Path, Instruction: Continue straight onto Cooper Creek Path, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn right, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
