Name: 1 Ingenieros Militares, Instruction: Head northwest on 1 Ingenieros Militares, Distance: 90.9 meters, Time: 65.4 seconds
Name: Avenida del Toreo, Instruction: Turn left onto Avenida del Toreo, Distance: 97.8 meters, Time: 70.4 seconds
Name: Calle 7, Instruction: Turn right onto Calle 7, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 109.7 meters, Time: 79.0 seconds
Name: -, Instruction: Turn slight right, Distance: 105.7 meters, Time: 76.1 seconds
Name: Prolongación Calzada Ingenieros Militares, Instruction: Turn left onto Prolongación Calzada Ingenieros Militares, Distance: 283.0 meters, Time: 203.7 seconds
Name: Prolongación Calzada Ingenieros Militares, Instruction: Keep left onto Prolongación Calzada Ingenieros Militares, Distance: 14.0 meters, Time: 10.1 seconds
Name: Avenida Lomas de Sotelo, Instruction: Turn left onto Avenida Lomas de Sotelo, Distance: 50.6 meters, Time: 36.4 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 51.6 meters, Time: 37.2 seconds
Name: -, Instruction: Turn right, Distance: 17.6 meters, Time: 12.6 seconds
Name: Avenida Lomas de Sotelo, Instruction: Turn left onto Avenida Lomas de Sotelo, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Turn left, Distance: 56.4 meters, Time: 40.6 seconds
Name: -, Instruction: Turn left, Distance: 59.2 meters, Time: 42.6 seconds
Name: -, Instruction: Turn left, Distance: 33.0 meters, Time: 23.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
