Name: McNair Road, Instruction: Head northeast on McNair Road, Distance: 55.2 meters, Time: 39.7 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn right, Distance: 142.0 meters, Time: 102.3 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 246.7 meters, Time: 177.6 seconds
Name: -, Instruction: Turn left, Distance: 103.4 meters, Time: 74.4 seconds
Name: -, Instruction: Turn right, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 92.1 meters, Time: 66.3 seconds
Name: -, Instruction: Turn slight left, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn slight right, Distance: 360.8 meters, Time: 259.8 seconds
Name: Kallang Park Connector, Instruction: Continue straight onto Kallang Park Connector, Distance: 69.8 meters, Time: 50.2 seconds
Name: -, Instruction: Continue straight, Distance: 108.2 meters, Time: 77.9 seconds
Name: Moonstone Lane, Instruction: Turn left onto Moonstone Lane, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Turn right, Distance: 113.8 meters, Time: 81.9 seconds
Name: Opal Crescent, Instruction: Turn right onto Opal Crescent, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 37.3 meters, Time: 26.8 seconds
Name: -, Instruction: Turn slight right, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Keep left, Distance: 83.7 meters, Time: 60.3 seconds
Name: Bendemeer Road, Instruction: Turn right onto Bendemeer Road, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Arrive at Bendemeer Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
