Name: Nicholson Street, Instruction: Head east on Nicholson Street, Distance: 15.4 meters, Time: 11.1 seconds
Name: Chancel Street, Instruction: Turn right onto Chancel Street, Distance: 4.0 meters, Time: 2.9 seconds
Name: Chancel Street, Instruction: Keep left onto Chancel Street, Distance: 39.2 meters, Time: 28.2 seconds
Name: Dolben Street, Instruction: Turn slight left onto Dolben Street, Distance: 106.6 meters, Time: 76.7 seconds
Name: Great Suffolk Street, Instruction: Turn left onto Great Suffolk Street, Distance: 52.7 meters, Time: 37.9 seconds
Name: Lavington Street, Instruction: Turn right onto Lavington Street, Distance: 210.2 meters, Time: 151.3 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn slight left, Distance: 186.0 meters, Time: 133.9 seconds
Name: -, Instruction: Turn right, Distance: 90.5 meters, Time: 65.1 seconds
Name: -, Instruction: Turn left, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn slight left, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight right, Distance: 227.9 meters, Time: 164.0 seconds
Name: -, Instruction: Turn slight right, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Keep left, Distance: 45.2 meters, Time: 32.6 seconds
Name: -, Instruction: Turn left, Distance: 75.3 meters, Time: 54.2 seconds
Name: Green Dragon Court, Instruction: Turn slight right onto Green Dragon Court, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 78.2 meters, Time: 56.3 seconds
Name: -, Instruction: Turn right, Distance: 36.3 meters, Time: 26.1 seconds
Name: -, Instruction: Turn left, Distance: 28.6 meters, Time: 20.6 seconds
Name: London Bridge Walk, Instruction: Continue straight onto London Bridge Walk, Distance: 31.7 meters, Time: 22.8 seconds
Name: The Queens Walk, Instruction: Turn right onto The Queens Walk, Distance: 181.8 meters, Time: 130.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 55.8 meters, Time: 40.1 seconds
Name: Middle Yard, Instruction: Turn left onto Middle Yard, Distance: 38.7 meters, Time: 27.9 seconds
Name: -, Instruction: Turn right, Distance: 400.1 meters, Time: 288.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 119.6 meters, Time: 86.1 seconds
Name: -, Instruction: Keep right, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn left, Distance: 132.8 meters, Time: 95.6 seconds
Name: -, Instruction: Turn left, Distance: 73.4 meters, Time: 52.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
