Name: Stolzingstraße, Instruction: Head north on Stolzingstraße, Distance: 14.4 meters, Time: 10.3 seconds
Name: Davidstraße, Instruction: Turn right onto Davidstraße, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 79.4 meters, Time: 57.2 seconds
Name: -, Instruction: Turn right, Distance: 113.1 meters, Time: 81.5 seconds
Name: -, Instruction: Turn right, Distance: 332.3 meters, Time: 239.2 seconds
Name: -, Instruction: Turn left, Distance: 43.4 meters, Time: 31.2 seconds
Name: -, Instruction: Turn slight right, Distance: 88.7 meters, Time: 63.9 seconds
Name: Salzsenderweg, Instruction: Turn right onto Salzsenderweg, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 128.2 meters, Time: 92.3 seconds
Name: -, Instruction: Turn right, Distance: 50.0 meters, Time: 36.0 seconds
Name: -, Instruction: Turn right, Distance: 132.5 meters, Time: 95.4 seconds
Name: Ringofenweg, Instruction: Turn slight left onto Ringofenweg, Distance: 44.8 meters, Time: 32.3 seconds
Name: Auf der Lehmzunge, Instruction: Keep right onto Auf der Lehmzunge, Distance: 36.2 meters, Time: 26.1 seconds
Name: -, Instruction: Keep left, Distance: 80.3 meters, Time: 57.8 seconds
Name: -, Instruction: Turn right, Distance: 140.7 meters, Time: 101.3 seconds
Name: -, Instruction: Turn left, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 21.2 meters, Time: 15.3 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 38.1 meters, Time: 27.4 seconds
Name: -, Instruction: Turn right, Distance: 60.8 meters, Time: 43.7 seconds
Name: Freischützstraße, Instruction: Keep right onto Freischützstraße, Distance: 28.7 meters, Time: 20.6 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
