Name: Parterre Francais, Instruction: Head north on Parterre Francais, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn right, Distance: 111.1 meters, Time: 80.0 seconds
Name: -, Instruction: Keep right, Distance: 99.2 meters, Time: 71.5 seconds
Name: Route de la Longue Queue, Instruction: Turn left onto Route de la Longue Queue, Distance: 28.0 meters, Time: 20.1 seconds
Name: Route des Lacs à Bagatelle, Instruction: Turn right onto Route des Lacs à Bagatelle, Distance: 213.5 meters, Time: 153.8 seconds
Name: Allée de la Reine Marguerite, Instruction: Turn right onto Allée de la Reine Marguerite, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 322.5 meters, Time: 232.2 seconds
Name: -, Instruction: Turn right, Distance: 552.9 meters, Time: 398.1 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: Route de Suresnes, Instruction: Turn left onto Route de Suresnes, Distance: 120.1 meters, Time: 86.5 seconds
Name: -, Instruction: Turn left, Distance: 162.5 meters, Time: 117.0 seconds
Name: -, Instruction: Turn slight right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Keep right, Distance: 412.2 meters, Time: 296.8 seconds
Name: -, Instruction: Keep right, Distance: 128.8 meters, Time: 92.7 seconds
Name: -, Instruction: Keep right, Distance: 100.3 meters, Time: 72.2 seconds
Name: -, Instruction: Turn slight left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.5 meters, Time: 4.0 seconds
Name: Route de Suresnes, Instruction: Turn sharp left onto Route de Suresnes, Distance: 57.6 meters, Time: 41.5 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
