Name: Bay Street, Instruction: Head east on Bay Street, Distance: 59.2 meters, Time: 42.6 seconds
Name: -, Instruction: Turn left, Distance: 256.5 meters, Time: 184.7 seconds
Name: -, Instruction: Turn right, Distance: 156.3 meters, Time: 112.5 seconds
Name: -, Instruction: Keep right, Distance: 379.1 meters, Time: 272.9 seconds
Name: -, Instruction: Turn left, Distance: 46.9 meters, Time: 33.7 seconds
Name: -, Instruction: Turn left, Distance: 25.9 meters, Time: 18.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn left, Distance: 106.6 meters, Time: 76.8 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Keep right, Distance: 68.0 meters, Time: 48.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
