Name: Allée Picasso, Instruction: Head west on Allée Picasso, Distance: 54.8 meters, Time: 39.4 seconds
Name: -, Instruction: Turn left, Distance: 161.7 meters, Time: 116.4 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn slight right, Distance: 63.6 meters, Time: 45.8 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 58.9 meters, Time: 42.4 seconds
Name: -, Instruction: Turn left, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Continue straight, Distance: 162.3 meters, Time: 116.8 seconds
Name: -, Instruction: Keep right, Distance: 813.0 meters, Time: 585.3 seconds
Name: -, Instruction: Turn right, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Turn right, Distance: 84.1 meters, Time: 60.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 167.3 meters, Time: 120.5 seconds
Name: -, Instruction: Keep right, Distance: 39.5 meters, Time: 28.4 seconds
Name: Rue Victor Hugo, Instruction: Turn left onto Rue Victor Hugo, Distance: 233.6 meters, Time: 168.2 seconds
Name: Promenade Paul Doumer, Instruction: Turn left onto Promenade Paul Doumer, Distance: 60.7 meters, Time: 43.7 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 33.0 meters, Time: 23.8 seconds
Name: Parc de Lattre de Tassigny, Instruction: Turn right onto Parc de Lattre de Tassigny, Distance: 141.9 meters, Time: 102.2 seconds
Name: Allée Boileau, Instruction: Turn left onto Allée Boileau, Distance: 78.7 meters, Time: 56.6 seconds
Name: Rue Molière, Instruction: Turn left onto Rue Molière, Distance: 15.1 meters, Time: 10.9 seconds
Name: Allée Racine, Instruction: Turn right onto Allée Racine, Distance: 27.0 meters, Time: 19.5 seconds
Name: Allée Racine, Instruction: Turn slight left onto Allée Racine, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Continue straight, Distance: 28.1 meters, Time: 20.2 seconds
Name: Allée Racine, Instruction: Turn slight right onto Allée Racine, Distance: 12.7 meters, Time: 9.1 seconds
Name: Rue Sainte-Marie, Instruction: Turn right onto Rue Sainte-Marie, Distance: 107.9 meters, Time: 77.7 seconds
Name: Rue Victor Hugo, Instruction: Turn left onto Rue Victor Hugo, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Keep left, Distance: 24.1 meters, Time: 17.4 seconds
Name: Rue de l'Hôtel de Ville, D 106, Instruction: Turn left onto Rue de l'Hôtel de Ville, D 106, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Arrive at Rue de l'Hôtel de Ville, D 106, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
