Name: Perchtinger Straße, Instruction: Head south on Perchtinger Straße, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn left, Distance: 36.0 meters, Time: 26.0 seconds
Name: -, Instruction: Turn right, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn left, Distance: 187.5 meters, Time: 135.0 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 180.8 meters, Time: 130.2 seconds
Name: Münsinger Straße, Instruction: Turn right onto Münsinger Straße, Distance: 453.6 meters, Time: 326.6 seconds
Name: Lochhamer Straße, St 2344, Instruction: Turn left onto Lochhamer Straße, St 2344, Distance: 29.7 meters, Time: 21.4 seconds
Name: Zeismeringer Straße, Instruction: Turn right onto Zeismeringer Straße, Distance: 355.3 meters, Time: 255.8 seconds
Name: -, Instruction: Turn right, Distance: 91.9 meters, Time: 66.2 seconds
Name: -, Instruction: Turn right, Distance: 141.2 meters, Time: 101.7 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 55.3 meters, Time: 39.8 seconds
Name: -, Instruction: Turn slight right, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Keep right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn slight right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Keep left, Distance: 146.6 meters, Time: 105.5 seconds
Name: -, Instruction: Keep right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 61.9 meters, Time: 44.6 seconds
Name: Becker-Gundahl-Straße, Instruction: Turn left onto Becker-Gundahl-Straße, Distance: 54.2 meters, Time: 39.0 seconds
Name: Becker-Gundahl-Straße, Instruction: Keep right onto Becker-Gundahl-Straße, Distance: 229.6 meters, Time: 165.3 seconds
Name: -, Instruction: Keep right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 75.0 meters, Time: 54.0 seconds
Name: Noestraße, Instruction: Turn left onto Noestraße, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn right, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Arrive at your destination, on the right, Distance: 0.0 meters, Time: 0.0 seconds
