Name: Leyton Road, Instruction: Head northwest on Leyton Road, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 79.4 meters, Time: 57.2 seconds
Name: -, Instruction: Turn right, Distance: 12.2 meters, Time: 8.8 seconds
Name: Chobham Road, Instruction: Turn left onto Chobham Road, Distance: 17.1 meters, Time: 12.3 seconds
Name: Major Road, Instruction: Turn slight right onto Major Road, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: Major Road, Instruction: Turn right onto Major Road, Distance: 88.2 meters, Time: 63.5 seconds
Name: Henniker Road, Instruction: Turn left onto Henniker Road, Distance: 456.3 meters, Time: 328.5 seconds
Name: -, Instruction: Turn right, Distance: 31.3 meters, Time: 22.6 seconds
Name: -, Instruction: Turn left, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 172.5 meters, Time: 124.2 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 8.9 seconds
Name: Leytonstone Road, Instruction: Turn right onto Leytonstone Road, Distance: 133.1 meters, Time: 95.8 seconds
Name: -, Instruction: Turn right, Distance: 313.1 meters, Time: 225.4 seconds
Name: -, Instruction: Turn left, Distance: 119.4 meters, Time: 86.0 seconds
Name: -, Instruction: Turn slight left, Distance: 5.8 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 256.3 meters, Time: 184.6 seconds
Name: -, Instruction: Arrive at your destination, on the left, Distance: 0.0 meters, Time: 0.0 seconds
