Name: Hopedale Avenue, Instruction: Head north on Hopedale Avenue, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 77.7 meters, Time: 55.9 seconds
Name: -, Instruction: Keep right, Distance: 71.8 meters, Time: 51.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Keep right, Distance: 102.9 meters, Time: 74.1 seconds
Name: -, Instruction: Turn slight left, Distance: 358.5 meters, Time: 258.1 seconds
Name: -, Instruction: Turn left, Distance: 113.1 meters, Time: 81.5 seconds
Name: -, Instruction: Turn right, Distance: 85.9 meters, Time: 61.8 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 4.9 seconds
Name: Gowan Avenue, Instruction: Turn right onto Gowan Avenue, Distance: 65.9 meters, Time: 47.5 seconds
Name: Carlaw Avenue, Instruction: Turn left onto Carlaw Avenue, Distance: 110.2 meters, Time: 79.3 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 40.3 meters, Time: 29.0 seconds
Name: -, Instruction: Turn right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
