Name: Ookwemin Street, Instruction: Head northwest on Ookwemin Street, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn slight left, Distance: 83.1 meters, Time: 59.9 seconds
Name: -, Instruction: Turn right, Distance: 523.4 meters, Time: 376.8 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: Lake Shore Boulevard East, Instruction: Turn left onto Lake Shore Boulevard East, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 47.6 meters, Time: 34.3 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Keep left, Distance: 159.5 meters, Time: 114.8 seconds
Name: Tank House Lane, Instruction: Turn right onto Tank House Lane, Distance: 28.9 meters, Time: 20.8 seconds
Name: Tank House Lane, Instruction: Continue straight onto Tank House Lane, Distance: 288.5 meters, Time: 207.7 seconds
Name: Tannery Road, Instruction: Continue straight onto Tannery Road, Distance: 141.2 meters, Time: 101.7 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 54.6 meters, Time: 39.3 seconds
Name: -, Instruction: Turn right, Distance: 139.6 meters, Time: 100.5 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 29.5 meters, Time: 21.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
