Name: Avenida Brigadeiro Trompowski, Instruction: Head east on Avenida Brigadeiro Trompowski, Distance: 460.0 meters, Time: 331.2 seconds
Name: -, Instruction: Turn left, Distance: 262.8 meters, Time: 189.2 seconds
Name: Rua Bruno Lobo, Instruction: Turn right onto Rua Bruno Lobo, Distance: 194.8 meters, Time: 140.2 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: Rua Bruno Lobo, Instruction: Turn right onto Rua Bruno Lobo, Distance: 30.1 meters, Time: 21.6 seconds
Name: Rua Bruno Lobo, Instruction: Turn left onto Rua Bruno Lobo, Distance: 142.8 meters, Time: 102.8 seconds
Name: -, Instruction: Turn right, Distance: 10.7 meters, Time: 7.7 seconds
Name: Rua Bruno Lobo, Instruction: Turn left onto Rua Bruno Lobo, Distance: 5.8 meters, Time: 4.2 seconds
Name: Rua Professor Rodolpho Paulo Rocco, Instruction: Turn right onto Rua Professor Rodolpho Paulo Rocco, Distance: 174.1 meters, Time: 125.3 seconds
Name: -, Instruction: Turn left, Distance: 273.2 meters, Time: 196.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
