Name: Bell Manor Drive, Instruction: Head east on Bell Manor Drive, Distance: 214.8 meters, Time: 154.6 seconds
Name: -, Instruction: Turn left, Distance: 89.3 meters, Time: 64.3 seconds
Name: -, Instruction: Keep right, Distance: 44.0 meters, Time: 31.7 seconds
Name: -, Instruction: Turn right, Distance: 283.3 meters, Time: 203.9 seconds
Name: Cloverhill Road, Instruction: Turn left onto Cloverhill Road, Distance: 7.3 meters, Time: 5.3 seconds
Name: Stephen Drive, Instruction: Turn right onto Stephen Drive, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 38.3 meters, Time: 27.6 seconds
Name: Humber CX, Instruction: Keep right onto Humber CX, Distance: 131.8 meters, Time: 94.9 seconds
Name: Humber CX, Instruction: Turn slight right onto Humber CX, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn slight left, Distance: 328.8 meters, Time: 236.7 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Turn left, Distance: 60.4 meters, Time: 43.5 seconds
Name: -, Instruction: Turn slight left, Distance: 178.2 meters, Time: 128.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 40.6 meters, Time: 29.3 seconds
Name: -, Instruction: Arrive at your destination, on the right, Distance: 0.0 meters, Time: 0.0 seconds
