Name: したみち通り, Instruction: Head east on したみち通り, Distance: 39.8 meters, Time: 28.7 seconds
Name: -, Instruction: Turn right, Distance: 20.6 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 107.0 meters, Time: 77.0 seconds
Name: -, Instruction: Turn left, Distance: 57.5 meters, Time: 41.4 seconds
Name: -, Instruction: Turn left, Distance: 90.5 meters, Time: 65.2 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 150.3 meters, Time: 108.2 seconds
Name: -, Instruction: Turn left, Distance: 68.2 meters, Time: 49.1 seconds
Name: -, Instruction: Turn left, Distance: 88.8 meters, Time: 63.9 seconds
Name: -, Instruction: Turn left, Distance: 41.6 meters, Time: 29.9 seconds
Name: -, Instruction: Turn right, Distance: 130.7 meters, Time: 94.1 seconds
Name: 保谷街道, 233, Instruction: Turn right onto 保谷街道, 233, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 126.7 meters, Time: 91.2 seconds
Name: -, Instruction: Turn left, Distance: 102.5 meters, Time: 73.8 seconds
Name: -, Instruction: Turn right, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Turn left, Distance: 60.4 meters, Time: 43.5 seconds
Name: -, Instruction: Turn right, Distance: 109.8 meters, Time: 79.0 seconds
Name: -, Instruction: Turn left, Distance: 186.1 meters, Time: 134.0 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 355.4 meters, Time: 255.9 seconds
Name: -, Instruction: Turn left, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn right, Distance: 204.8 meters, Time: 147.4 seconds
Name: 旧早稲田通り, 25, Instruction: Turn sharp right onto 旧早稲田通り, 25, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 105.4 meters, Time: 75.9 seconds
Name: -, Instruction: Keep left, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Turn right, Distance: 34.0 meters, Time: 24.5 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 54.9 meters, Time: 39.6 seconds
Name: -, Instruction: Turn right, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Turn slight left, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn slight right, Distance: 47.9 meters, Time: 34.5 seconds
Name: -, Instruction: Turn left, Distance: 83.1 meters, Time: 59.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
