Name: شارع ابن السراج, Instruction: Head northwest on شارع ابن السراج, Distance: 89.2 meters, Time: 64.2 seconds
Name: -, Instruction: Keep left, Distance: 74.3 meters, Time: 53.5 seconds
Name: شارع ابو هريره, Instruction: Turn slight left onto شارع ابو هريره, Distance: 99.9 meters, Time: 71.9 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: شارع ابو هريره, Instruction: Turn left onto شارع ابو هريره, Distance: 193.1 meters, Time: 139.0 seconds
Name: -, Instruction: Turn right, Distance: 97.8 meters, Time: 70.4 seconds
Name: شارع الشويفات, Instruction: Turn left onto شارع الشويفات, Distance: 19.1 meters, Time: 13.7 seconds
Name: شارع فكرى أباظة, Instruction: Turn sharp right onto شارع فكرى أباظة, Distance: 115.9 meters, Time: 83.4 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.4 seconds
Name: شارع فكرى أباظة, Instruction: Turn right onto شارع فكرى أباظة, Distance: 168.3 meters, Time: 121.1 seconds
Name: شارع الشيخ محمود البنا, Instruction: Enter the roundabout and take the 1st exit onto شارع الشيخ محمود البنا, Distance: 405.8 meters, Time: 292.2 seconds
Name: شارع الشيخ محمود البنا, Instruction: Keep right onto شارع الشيخ محمود البنا, Distance: 465.9 meters, Time: 335.5 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
