Name: Calle Ferrocarril Interoceánico, Instruction: Head south on Calle Ferrocarril Interoceánico, Distance: 90.9 meters, Time: 65.5 seconds
Name: Calle Héroe de Nacozari, Instruction: Turn right onto Calle Héroe de Nacozari, Distance: 239.5 meters, Time: 172.4 seconds
Name: Calle Héroe de Nacozari, Instruction: Keep left onto Calle Héroe de Nacozari, Distance: 446.7 meters, Time: 321.6 seconds
Name: Calle Bravo, Instruction: Turn left onto Calle Bravo, Distance: 92.9 meters, Time: 66.9 seconds
Name: Calle Bravo, Instruction: Turn right onto Calle Bravo, Distance: 317.8 meters, Time: 228.8 seconds
Name: Calle Emiliano Zapata, Instruction: Turn right onto Calle Emiliano Zapata, Distance: 46.5 meters, Time: 33.5 seconds
Name: Calle Santa Escuela, Instruction: Turn left onto Calle Santa Escuela, Distance: 60.8 meters, Time: 43.8 seconds
Name: -, Instruction: Turn left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Keep left, Distance: 32.7 meters, Time: 23.5 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
