Name: Steele Street, Instruction: Head southwest on Steele Street, Distance: 201.6 meters, Time: 145.2 seconds
Name: Gowing Drive, Instruction: Turn left onto Gowing Drive, Distance: 108.6 meters, Time: 78.2 seconds
Name: Parsons Road, Instruction: Turn right onto Parsons Road, Distance: 163.0 meters, Time: 117.3 seconds
Name: -, Instruction: Turn right, Distance: 485.9 meters, Time: 349.9 seconds
Name: -, Instruction: Turn right, Distance: 391.6 meters, Time: 282.0 seconds
Name: Te Ara ki Uta ki Tai / The Path of Land and Sea, Instruction: Turn sharp right onto Te Ara ki Uta ki Tai / The Path of Land and Sea, Distance: 939.3 meters, Time: 676.3 seconds
Name: Te Ara ki Uta ki Tai / The Path of Land and Sea, Instruction: Turn left onto Te Ara ki Uta ki Tai / The Path of Land and Sea, Distance: 201.4 meters, Time: 145.0 seconds
Name: Te Ara ki Uta ki Tai / The Path of Land and Sea, Instruction: Turn slight right onto Te Ara ki Uta ki Tai / The Path of Land and Sea, Distance: 46.5 meters, Time: 33.5 seconds
Name: John Rymer Place, Instruction: Continue straight onto John Rymer Place, Distance: 316.2 meters, Time: 227.7 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
