Name: Morning Lane, B113, Instruction: Head southwest on Morning Lane, B113, Distance: 90.6 meters, Time: 65.3 seconds
Name: Mare Street, A107, Instruction: Turn left onto Mare Street, A107, Distance: 26.3 meters, Time: 18.9 seconds
Name: Mare Street, A107, Instruction: Turn slight left onto Mare Street, A107, Distance: 38.4 meters, Time: 27.7 seconds
Name: Wilton Way, Instruction: Turn right onto Wilton Way, Distance: 36.9 meters, Time: 26.6 seconds
Name: -, Instruction: Turn left, Distance: 66.4 meters, Time: 47.8 seconds
Name: Reading Lane, Instruction: Turn right onto Reading Lane, Distance: 17.5 meters, Time: 12.6 seconds
Name: Hackney Grove, Instruction: Turn left onto Hackney Grove, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 163.0 meters, Time: 117.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 279.9 meters, Time: 201.5 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 282.4 meters, Time: 203.3 seconds
Name: -, Instruction: Keep left, Distance: 88.3 meters, Time: 63.6 seconds
Name: -, Instruction: Keep right, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Keep right, Distance: 21.5 meters, Time: 15.5 seconds
Name: Broadway Market, Instruction: Turn right onto Broadway Market, Distance: 205.1 meters, Time: 147.7 seconds
Name: Broadway Market, Instruction: Keep left onto Broadway Market, Distance: 12.8 meters, Time: 9.2 seconds
Name: Broadway Market, Instruction: Turn right onto Broadway Market, Distance: 35.2 meters, Time: 25.3 seconds
Name: Regent's Row, Instruction: Turn right onto Regent's Row, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 55.5 meters, Time: 40.0 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: Pritchard's Road, Instruction: Turn right onto Pritchard's Road, Distance: 33.8 meters, Time: 24.3 seconds
Name: Goldsmiths' Row, Instruction: Continue straight onto Goldsmiths' Row, Distance: 241.9 meters, Time: 174.2 seconds
Name: Kay Street, Instruction: Turn left onto Kay Street, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Arrive at Kay Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
