Name: Queen Natalie Place, Instruction: Head northwest on Queen Natalie Place, Distance: 49.6 meters, Time: 35.7 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 92.6 meters, Time: 66.7 seconds
Name: -, Instruction: Turn left, Distance: 83.9 meters, Time: 60.4 seconds
Name: -, Instruction: Turn left, Distance: 126.6 meters, Time: 91.1 seconds
Name: -, Instruction: Turn left, Distance: 108.5 meters, Time: 78.1 seconds
Name: -, Instruction: Turn right, Distance: 167.6 meters, Time: 120.6 seconds
Name: -, Instruction: Turn right, Distance: 330.8 meters, Time: 238.2 seconds
Name: -, Instruction: Turn slight left, Distance: 382.0 meters, Time: 275.0 seconds
Name: -, Instruction: Keep left, Distance: 6.8 meters, Time: 4.9 seconds
Name: Wickstead Place, Instruction: Turn right onto Wickstead Place, Distance: 87.5 meters, Time: 63.0 seconds
Name: -, Instruction: Arrive at Wickstead Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
