Name: Rue de Hanovre, Instruction: Head north on Rue de Hanovre, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn slight right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn slight left, Distance: 80.3 meters, Time: 57.8 seconds
Name: -, Instruction: Turn right, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Turn right, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Turn left, Distance: 107.9 meters, Time: 77.7 seconds
Name: -, Instruction: Keep right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Keep left, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 156.4 meters, Time: 112.6 seconds
Name: -, Instruction: Turn slight right, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 11.2 meters, Time: 8.1 seconds
Name: Rue des Mathurins, Instruction: Keep left onto Rue des Mathurins, Distance: 24.2 meters, Time: 17.5 seconds
Name: Rue des Mathurins, Instruction: Continue straight onto Rue des Mathurins, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Keep right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Keep right, Distance: 73.6 meters, Time: 53.0 seconds
Name: -, Instruction: Turn left, Distance: 40.6 meters, Time: 29.2 seconds
Name: -, Instruction: Turn slight right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Keep left, Distance: 150.2 meters, Time: 108.2 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn slight left, Distance: 33.4 meters, Time: 24.1 seconds
Name: -, Instruction: Turn slight left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 21.3 meters, Time: 15.4 seconds
Name: -, Instruction: Turn left, Distance: 159.6 meters, Time: 114.9 seconds
Name: -, Instruction: Turn left, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
