Name: Freya Street, Instruction: Head north on Freya Street, Distance: 32.3 meters, Time: 23.3 seconds
Name: Rival Street, Instruction: Turn left onto Rival Street, Distance: 350.5 meters, Time: 252.4 seconds
Name: -, Instruction: Turn left, Distance: 100.7 meters, Time: 72.5 seconds
Name: Siandra Drive, Instruction: Turn right onto Siandra Drive, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 154.3 meters, Time: 111.1 seconds
Name: Carvers Road, Instruction: Turn left onto Carvers Road, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 342.7 meters, Time: 246.8 seconds
Name: Carvers Road, Instruction: Turn right onto Carvers Road, Distance: 25.1 meters, Time: 18.1 seconds
Name: Carvers Road, Instruction: Turn sharp left onto Carvers Road, Distance: 72.2 meters, Time: 52.0 seconds
Name: Loves Avenue, Instruction: Keep right onto Loves Avenue, Distance: 13.2 meters, Time: 9.5 seconds
Name: Loves Avenue, Instruction: Turn right onto Loves Avenue, Distance: 432.2 meters, Time: 311.2 seconds
Name: Short Street, Instruction: Turn right onto Short Street, Distance: 199.6 meters, Time: 143.7 seconds
Name: -, Instruction: Turn right, Distance: 36.3 meters, Time: 26.1 seconds
Name: -, Instruction: Turn right, Distance: 42.6 meters, Time: 30.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
