Name: Portia Way, Instruction: Head south on Portia Way, Distance: 126.4 meters, Time: 91.0 seconds
Name: -, Instruction: Turn left, Distance: 331.2 meters, Time: 238.4 seconds
Name: -, Instruction: Turn right, Distance: 26.9 meters, Time: 19.4 seconds
Name: -, Instruction: Turn left, Distance: 13.8 meters, Time: 10.0 seconds
Name: St Paul's Way, Instruction: Turn left onto St Paul's Way, Distance: 411.5 meters, Time: 296.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 112.8 meters, Time: 81.2 seconds
Name: -, Instruction: Turn left, Distance: 336.0 meters, Time: 241.9 seconds
Name: Three Colt Street, Instruction: Turn slight left onto Three Colt Street, Distance: 64.5 meters, Time: 46.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
