Name: Rue Charlot, Instruction: Head northeast on Rue Charlot, Distance: 77.9 meters, Time: 56.1 seconds
Name: -, Instruction: Turn left, Distance: 132.4 meters, Time: 95.3 seconds
Name: -, Instruction: Continue straight, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Continue straight, Distance: 95.5 meters, Time: 68.8 seconds
Name: -, Instruction: Keep right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 100.0 meters, Time: 72.0 seconds
Name: Rue du Faubourg du Temple, Instruction: Turn right onto Rue du Faubourg du Temple, Distance: 216.3 meters, Time: 155.8 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: Rue du Faubourg du Temple, Instruction: Keep right onto Rue du Faubourg du Temple, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.3 seconds
Name: -, Instruction: Keep right, Distance: 136.7 meters, Time: 98.5 seconds
Name: -, Instruction: Turn slight right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Keep left, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Keep right, Distance: 55.7 meters, Time: 40.1 seconds
Name: -, Instruction: Keep left, Distance: 67.9 meters, Time: 48.9 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 139.3 meters, Time: 100.3 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Keep right, Distance: 315.5 meters, Time: 227.2 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 44.2 meters, Time: 31.8 seconds
Name: -, Instruction: Keep right, Distance: 207.3 meters, Time: 149.3 seconds
Name: -, Instruction: Turn left, Distance: 39.5 meters, Time: 28.4 seconds
Name: Rue Rampal, Instruction: Keep right onto Rue Rampal, Distance: 79.9 meters, Time: 57.6 seconds
Name: Rue Rampal, Instruction: Turn slight left onto Rue Rampal, Distance: 81.1 meters, Time: 58.4 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: Rue Rébeval, Instruction: Turn right onto Rue Rébeval, Distance: 2.9 meters, Time: 2.1 seconds
Name: Cité Jandelle, Instruction: Turn left onto Cité Jandelle, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 55.9 meters, Time: 40.3 seconds
Name: -, Instruction: Turn left, Distance: 110.2 meters, Time: 79.3 seconds
Name: Passage Gauthier, Instruction: Turn slight left onto Passage Gauthier, Distance: 22.4 meters, Time: 16.2 seconds
Name: -, Instruction: Turn left, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Turn right, Distance: 33.8 meters, Time: 24.3 seconds
Name: -, Instruction: Turn left, Distance: 173.3 meters, Time: 124.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
