Name: Kopuru Road, Instruction: Head west on Kopuru Road, Distance: 350.0 meters, Time: 252.0 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 39.7 meters, Time: 28.6 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn slight left, Distance: 211.2 meters, Time: 152.1 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.4 seconds
Name: -, Instruction: Turn slight right, Distance: 49.8 meters, Time: 35.9 seconds
Name: -, Instruction: Keep left, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 44.1 meters, Time: 31.7 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
