Name: Bamfield Place, Instruction: Head east on Bamfield Place, Distance: 69.0 meters, Time: 49.7 seconds
Name: Seacliffe Road, Instruction: Turn right onto Seacliffe Road, Distance: 408.1 meters, Time: 293.8 seconds
Name: -, Instruction: Turn left, Distance: 112.1 meters, Time: 80.7 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 418.5 meters, Time: 301.3 seconds
Name: Beachcroft Avenue, Instruction: Continue straight onto Beachcroft Avenue, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Turn left, Distance: 36.6 meters, Time: 26.3 seconds
Name: -, Instruction: Turn right, Distance: 237.0 meters, Time: 170.6 seconds
Name: Quadrant Road, Instruction: Turn right onto Quadrant Road, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 123.9 meters, Time: 89.2 seconds
Name: Hill Street, Instruction: Turn left onto Hill Street, Distance: 203.7 meters, Time: 146.6 seconds
Name: -, Instruction: Turn right, Distance: 50.9 meters, Time: 36.7 seconds
Name: Catherine Street, Instruction: Turn left onto Catherine Street, Distance: 50.8 meters, Time: 36.6 seconds
Name: Arthur Street, Instruction: Turn left onto Arthur Street, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 455.3 meters, Time: 327.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
