Name: شارع 12, Instruction: Head south on شارع 12, Distance: 375.6 meters, Time: 270.4 seconds
Name: شارع 13, Instruction: Enter the roundabout and take the 1st exit onto شارع 13, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: شارع 13, Instruction: Turn left onto شارع 13, Distance: 65.6 meters, Time: 47.2 seconds
Name: -, Instruction: Turn right, Distance: 21.9 meters, Time: 15.7 seconds
Name: -, Instruction: Turn right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 122.9 meters, Time: 88.5 seconds
Name: -, Instruction: Turn left, Distance: 173.6 meters, Time: 125.0 seconds
Name: -, Instruction: Turn left, Distance: 149.3 meters, Time: 107.5 seconds
Name: شارع 11, Instruction: Turn right onto شارع 11, Distance: 54.3 meters, Time: 39.1 seconds
Name: شارع 17, Instruction: Enter the roundabout and take the 1st exit onto شارع 17, Distance: 61.3 meters, Time: 44.2 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.5 seconds
Name: شارع 17, Instruction: Turn left onto شارع 17, Distance: 280.2 meters, Time: 201.8 seconds
Name: -, Instruction: Turn right, Distance: 17.6 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 40.9 meters, Time: 29.4 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 400.3 meters, Time: 288.2 seconds
Name: -, Instruction: Continue straight, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn left, Distance: 23.8 meters, Time: 17.2 seconds
Name: -, Instruction: Turn right, Distance: 91.9 meters, Time: 66.2 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
