Name: Burnham Close, Instruction: Head north on Burnham Close, Distance: 39.8 meters, Time: 28.7 seconds
Name: Bushwood Drive, Instruction: Turn right onto Bushwood Drive, Distance: 87.2 meters, Time: 62.8 seconds
Name: Cadet Drive, Instruction: Turn left onto Cadet Drive, Distance: 47.5 meters, Time: 34.2 seconds
Name: Lynton Road, Instruction: Turn right onto Lynton Road, Distance: 810.8 meters, Time: 583.8 seconds
Name: Galleywall Road, Instruction: Turn right onto Galleywall Road, Distance: 71.1 meters, Time: 51.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 73.3 meters, Time: 52.8 seconds
Name: -, Instruction: Turn right, Distance: 27.3 meters, Time: 19.6 seconds
Name: -, Instruction: Continue straight, Distance: 126.8 meters, Time: 91.3 seconds
Name: -, Instruction: Turn left, Distance: 187.2 meters, Time: 134.8 seconds
Name: Raymouth Road, Instruction: Turn right onto Raymouth Road, Distance: 96.6 meters, Time: 69.5 seconds
Name: -, Instruction: Turn right, Distance: 13.1 meters, Time: 9.4 seconds
Name: Rotherhithe New Road, Instruction: Turn left onto Rotherhithe New Road, Distance: 62.2 meters, Time: 44.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 167.8 meters, Time: 120.8 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: Rotherhithe New Road, Instruction: Turn right onto Rotherhithe New Road, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
