Name: Rua Observador, Instruction: Head south on Rua Observador, Distance: 204.5 meters, Time: 147.3 seconds
Name: Rua Verdadeiro Patriota, Instruction: Turn right onto Rua Verdadeiro Patriota, Distance: 73.2 meters, Time: 52.7 seconds
Name: Rua Gazeta do Rio, Instruction: Turn left onto Rua Gazeta do Rio, Distance: 373.4 meters, Time: 268.8 seconds
Name: Estrada Macembu, Instruction: Turn right onto Estrada Macembu, Distance: 204.1 meters, Time: 147.0 seconds
Name: Rua Sargento Luiz da Silva, Instruction: Turn left onto Rua Sargento Luiz da Silva, Distance: 444.3 meters, Time: 319.9 seconds
Name: Rua Mapendi, Instruction: Turn right onto Rua Mapendi, Distance: 236.8 meters, Time: 170.5 seconds
Name: Estrada do Guerenguê, Instruction: Turn left onto Estrada do Guerenguê, Distance: 204.8 meters, Time: 147.4 seconds
Name: Rua Acre, Instruction: Turn right onto Rua Acre, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 108.3 meters, Time: 78.0 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: Estrada dos Bandeirantes, Instruction: Turn right onto Estrada dos Bandeirantes, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Keep right, Distance: 92.1 meters, Time: 66.3 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 86.6 meters, Time: 62.4 seconds
Name: Estrada dos Bandeirantes, Instruction: Turn right onto Estrada dos Bandeirantes, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Turn right, Distance: 69.2 meters, Time: 49.8 seconds
Name: -, Instruction: Turn left, Distance: 159.0 meters, Time: 114.4 seconds
Name: -, Instruction: Turn left, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Turn left, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn left, Distance: 25.9 meters, Time: 18.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
