Name: Travessa Vitorio Emanuel, Instruction: Head southeast on Travessa Vitorio Emanuel, Distance: 80.0 meters, Time: 57.6 seconds
Name: Rua Santa Sofia, Instruction: Turn sharp right onto Rua Santa Sofia, Distance: 210.3 meters, Time: 151.4 seconds
Name: -, Instruction: Turn left, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 245.2 meters, Time: 176.5 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 5.9 seconds
Name: Rua Barão de Mesquita, Instruction: Turn left onto Rua Barão de Mesquita, Distance: 34.0 meters, Time: 24.5 seconds
Name: Rua Soriano de Sousa, Instruction: Turn left onto Rua Soriano de Sousa, Distance: 149.4 meters, Time: 107.6 seconds
Name: Rua Antônio Basílio, Instruction: Turn sharp right onto Rua Antônio Basílio, Distance: 636.2 meters, Time: 458.1 seconds
Name: Rua José Higino, Instruction: Turn right onto Rua José Higino, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 49.4 meters, Time: 35.5 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: Avenida Maracanã, Instruction: Turn left onto Avenida Maracanã, Distance: 195.2 meters, Time: 140.6 seconds
Name: Rua Guaxupé, Instruction: Turn left onto Rua Guaxupé, Distance: 244.9 meters, Time: 176.3 seconds
Name: Rua Uruguai, Instruction: Turn left onto Rua Uruguai, Distance: 45.2 meters, Time: 32.6 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: Rua Conde de Bonfim, Instruction: Turn right onto Rua Conde de Bonfim, Distance: 216.0 meters, Time: 155.5 seconds
Name: Rua Alves de Brito, Instruction: Turn left onto Rua Alves de Brito, Distance: 118.1 meters, Time: 85.0 seconds
Name: Rua Dezoito de Outubro, Instruction: Turn right onto Rua Dezoito de Outubro, Distance: 141.0 meters, Time: 101.5 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
