Name: Finlay Street, Instruction: Head west on Finlay Street, Distance: 199.6 meters, Time: 143.7 seconds
Name: -, Instruction: Turn right, Distance: 291.6 meters, Time: 209.9 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Turn left, Distance: 718.9 meters, Time: 517.6 seconds
Name: -, Instruction: Turn left, Distance: 275.1 meters, Time: 198.1 seconds
Name: -, Instruction: Turn right, Distance: 241.9 meters, Time: 174.1 seconds
Name: -, Instruction: Turn right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 62.5 meters, Time: 45.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 68.1 meters, Time: 49.0 seconds
Name: -, Instruction: Turn slight right, Distance: 195.1 meters, Time: 140.5 seconds
Name: -, Instruction: Turn right, Distance: 53.0 meters, Time: 38.2 seconds
Name: Brunsdon Road, Instruction: Turn slight left onto Brunsdon Road, Distance: 114.4 meters, Time: 82.4 seconds
Name: -, Instruction: Arrive at Brunsdon Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
