Name: Blouzicht, Instruction: Head west on Blouzicht, Distance: 78.4 meters, Time: 56.5 seconds
Name: Willow Road, Instruction: Turn left onto Willow Road, Distance: 69.1 meters, Time: 49.8 seconds
Name: Porterfield Road, Instruction: Turn left onto Porterfield Road, Distance: 80.8 meters, Time: 58.2 seconds
Name: Porterfield Road, Instruction: Keep right onto Porterfield Road, Distance: 567.6 meters, Time: 408.6 seconds
Name: -, Instruction: Turn right, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Turn left, Distance: 47.4 meters, Time: 34.2 seconds
Name: -, Instruction: Turn right, Distance: 37.8 meters, Time: 27.2 seconds
Name: Weymouth Walk, Instruction: Turn left onto Weymouth Walk, Distance: 37.6 meters, Time: 27.0 seconds
Name: Village Walk, Instruction: Turn right onto Village Walk, Distance: 153.7 meters, Time: 110.7 seconds
Name: Village Walk, Instruction: Keep left onto Village Walk, Distance: 20.2 meters, Time: 14.6 seconds
Name: Village Walk, Instruction: Enter the roundabout and take the 1st exit onto Village Walk, Distance: 155.7 meters, Time: 112.1 seconds
Name: Parklands Main Road, Instruction: Turn right onto Parklands Main Road, Distance: 83.6 meters, Time: 60.2 seconds
Name: Parklands Main Road, Instruction: Keep left onto Parklands Main Road, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 23.5 meters, Time: 17.0 seconds
Name: -, Instruction: Turn right, Distance: 54.2 meters, Time: 39.1 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: Raats Drive, Instruction: Turn sharp left onto Raats Drive, Distance: 109.8 meters, Time: 79.0 seconds
Name: Meerlust Street, Instruction: Turn right onto Meerlust Street, Distance: 78.8 meters, Time: 56.7 seconds
Name: Libertas Avenue, Instruction: Turn left onto Libertas Avenue, Distance: 295.0 meters, Time: 212.4 seconds
Name: Leeuwenhof Crescent, Instruction: Turn right onto Leeuwenhof Crescent, Distance: 266.8 meters, Time: 192.1 seconds
Name: -, Instruction: Turn left, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 215.1 meters, Time: 154.9 seconds
Name: Cognac Road, Instruction: Turn slight right onto Cognac Road, Distance: 23.4 meters, Time: 16.8 seconds
Name: -, Instruction: Turn right, Distance: 73.4 meters, Time: 52.8 seconds
Name: Madeira Crescent, Instruction: Turn left onto Madeira Crescent, Distance: 87.9 meters, Time: 63.3 seconds
Name: -, Instruction: Arrive at Madeira Crescent, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
