Name: Jurong West Street 41, Instruction: Head east on Jurong West Street 41, Distance: 260.5 meters, Time: 187.6 seconds
Name: -, Instruction: Turn left, Distance: 96.4 meters, Time: 69.4 seconds
Name: -, Instruction: Turn left, Distance: 108.0 meters, Time: 77.8 seconds
Name: -, Instruction: Turn left, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn left, Distance: 164.9 meters, Time: 118.8 seconds
Name: -, Instruction: Turn left, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn left, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 80.5 meters, Time: 58.0 seconds
Name: -, Instruction: Turn left, Distance: 151.1 meters, Time: 108.8 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 59.7 meters, Time: 43.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
