Name: Elisabeth-Kohn-Straße, Instruction: Head west on Elisabeth-Kohn-Straße, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn right, Distance: 323.4 meters, Time: 232.8 seconds
Name: -, Instruction: Turn left, Distance: 34.1 meters, Time: 24.6 seconds
Name: -, Instruction: Turn right, Distance: 131.2 meters, Time: 94.4 seconds
Name: -, Instruction: Turn left, Distance: 224.0 meters, Time: 161.3 seconds
Name: -, Instruction: Keep right, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn slight right, Distance: 279.5 meters, Time: 201.2 seconds
Name: Winzererstraße, Instruction: Turn sharp left onto Winzererstraße, Distance: 137.4 meters, Time: 99.0 seconds
Name: -, Instruction: Turn right, Distance: 69.8 meters, Time: 50.3 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn slight left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn slight right, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
