Name: شارع نجيب محفوظ, Instruction: Head northwest on شارع نجيب محفوظ, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 129.3 meters, Time: 93.1 seconds
Name: شارع الرحاب, Instruction: Turn right onto شارع الرحاب, Distance: 331.3 meters, Time: 238.5 seconds
Name: -, Instruction: Turn right, Distance: 155.1 meters, Time: 111.7 seconds
Name: -, Instruction: Turn right, Distance: 50.0 meters, Time: 36.0 seconds
Name: -, Instruction: Turn slight right, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Keep right, Distance: 52.2 meters, Time: 37.6 seconds
Name: -, Instruction: Keep left, Distance: 178.7 meters, Time: 128.7 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.5 seconds
Name: شارع الرحاب, Instruction: Turn right onto شارع الرحاب, Distance: 116.6 meters, Time: 84.0 seconds
Name: شارع الرحاب, Instruction: Enter the roundabout and take the 1st exit onto شارع الرحاب, Distance: 62.7 meters, Time: 45.2 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 130.0 meters, Time: 93.6 seconds
Name: -, Instruction: Turn left, Distance: 29.0 meters, Time: 20.9 seconds
Name: شارع الرحاب, Instruction: Turn right onto شارع الرحاب, Distance: 54.9 meters, Time: 39.5 seconds
Name: شارع عثمان بن عفان, Instruction: Enter the roundabout and take the 2nd exit onto شارع عثمان بن عفان, Distance: 72.4 meters, Time: 52.1 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: شارع عثمان بن عفان, Instruction: Turn left onto شارع عثمان بن عفان, Distance: 17.5 meters, Time: 12.6 seconds
Name: شارع عثمان بن عفان الجانبى, Instruction: Turn right onto شارع عثمان بن عفان الجانبى, Distance: 68.6 meters, Time: 49.4 seconds
Name: شارع عثمان بن عفان الجانبى, Instruction: Continue straight onto شارع عثمان بن عفان الجانبى, Distance: 180.4 meters, Time: 129.9 seconds
Name: -, Instruction: Turn right, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn left, Distance: 87.5 meters, Time: 63.0 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 32.7 meters, Time: 23.5 seconds
Name: -, Instruction: Continue straight, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Turn left, Distance: 48.2 meters, Time: 34.7 seconds
Name: -, Instruction: Turn right, Distance: 114.2 meters, Time: 82.2 seconds
Name: -, Instruction: Keep left, Distance: 23.6 meters, Time: 17.0 seconds
Name: شارع طلعت مصطفى, Instruction: Turn left onto شارع طلعت مصطفى, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 11.0 meters, Time: 7.9 seconds
Name: شارع طلعت مصطفى, Instruction: Turn right onto شارع طلعت مصطفى, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn left, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 80.5 meters, Time: 58.0 seconds
Name: -, Instruction: Turn left, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn right, Distance: 59.3 meters, Time: 42.7 seconds
Name: -, Instruction: Turn left, Distance: 73.7 meters, Time: 53.1 seconds
Name: -, Instruction: Keep right, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
