Name: Worcester Road, Instruction: Head southwest on Worcester Road, Distance: 23.0 meters, Time: 16.5 seconds
Name: Ripon Crescent, Instruction: Keep right onto Ripon Crescent, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 299.6 meters, Time: 215.7 seconds
Name: -, Instruction: Turn left, Distance: 56.8 meters, Time: 40.9 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 949.2 meters, Time: 683.5 seconds
Name: -, Instruction: Keep left, Distance: 36.9 meters, Time: 26.6 seconds
Name: -, Instruction: Turn left, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn right, Distance: 226.0 meters, Time: 162.7 seconds
Name: -, Instruction: Turn right, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn left, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 133.0 meters, Time: 95.7 seconds
Name: -, Instruction: Turn slight right, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: Searle Street, Instruction: Turn right onto Searle Street, Distance: 436.9 meters, Time: 314.5 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 47.4 meters, Time: 34.2 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
