Name: Tangerine Drive, Instruction: Head north on Tangerine Drive, Distance: 59.2 meters, Time: 42.7 seconds
Name: Verna Place, Instruction: Turn right onto Verna Place, Distance: 84.2 meters, Time: 60.6 seconds
Name: -, Instruction: Keep left, Distance: 48.1 meters, Time: 34.6 seconds
Name: Malti Way, Instruction: Turn right onto Malti Way, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 61.6 meters, Time: 44.4 seconds
Name: -, Instruction: Turn left, Distance: 118.7 meters, Time: 85.5 seconds
Name: Messina Street, Instruction: Turn left onto Messina Street, Distance: 5.3 meters, Time: 3.8 seconds
Name: Parklea Drive, Instruction: Turn right onto Parklea Drive, Distance: 221.7 meters, Time: 159.6 seconds
Name: -, Instruction: Turn left, Distance: 384.1 meters, Time: 276.5 seconds
Name: -, Instruction: Turn left, Distance: 39.4 meters, Time: 28.4 seconds
Name: -, Instruction: Turn slight right, Distance: 72.0 meters, Time: 51.9 seconds
Name: -, Instruction: Turn left, Distance: 132.4 meters, Time: 95.3 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn slight right, Distance: 271.7 meters, Time: 195.6 seconds
Name: -, Instruction: Turn slight right, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 166.0 meters, Time: 119.5 seconds
Name: -, Instruction: Keep left, Distance: 206.2 meters, Time: 148.5 seconds
Name: -, Instruction: Keep left, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn right, Distance: 90.0 meters, Time: 64.8 seconds
Name: -, Instruction: Turn left, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Turn slight left, Distance: 40.7 meters, Time: 29.3 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: Farnill Place, Instruction: Turn sharp right onto Farnill Place, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Arrive at Farnill Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
