Name: Korbinianstraße, Instruction: Head south on Korbinianstraße, Distance: 82.0 meters, Time: 59.0 seconds
Name: Korbinianplatz, Instruction: Turn left onto Korbinianplatz, Distance: 134.7 meters, Time: 97.0 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 83.4 meters, Time: 60.1 seconds
Name: -, Instruction: Turn right, Distance: 91.6 meters, Time: 66.0 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Keep left, Distance: 229.0 meters, Time: 164.9 seconds
Name: Bad-Kreuznacher-Straße, Instruction: Turn right onto Bad-Kreuznacher-Straße, Distance: 23.4 meters, Time: 16.8 seconds
Name: -, Instruction: Turn left, Distance: 181.7 meters, Time: 130.8 seconds
Name: -, Instruction: Turn slight right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 201.2 meters, Time: 144.9 seconds
Name: -, Instruction: Turn right, Distance: 39.8 meters, Time: 28.7 seconds
Name: -, Instruction: Turn left, Distance: 358.1 meters, Time: 257.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
