Name: Rue Michal, Instruction: Head southeast on Rue Michal, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 122.7 meters, Time: 88.3 seconds
Name: -, Instruction: Turn left, Distance: 106.5 meters, Time: 76.7 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: Rue Martin Bernard, Instruction: Turn left onto Rue Martin Bernard, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 121.1 meters, Time: 87.2 seconds
Name: -, Instruction: Turn slight right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn slight right, Distance: 7.5 meters, Time: 5.4 seconds
Name: Passage du Moulinet, Instruction: Turn right onto Passage du Moulinet, Distance: 87.5 meters, Time: 63.0 seconds
Name: -, Instruction: Turn left, Distance: 198.3 meters, Time: 142.8 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 159.2 meters, Time: 114.6 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 283.8 meters, Time: 204.3 seconds
Name: Rue Baudricourt, Instruction: Turn left onto Rue Baudricourt, Distance: 55.3 meters, Time: 39.8 seconds
Name: -, Instruction: Arrive at Rue Baudricourt, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
