Name: Allée de l'Arlequin, Instruction: Head east on Allée de l'Arlequin, Distance: 61.3 meters, Time: 44.1 seconds
Name: Allée Maryse Condé, Instruction: Turn sharp left onto Allée Maryse Condé, Distance: 70.1 meters, Time: 50.4 seconds
Name: Allée Maryse Condé, Instruction: Turn right onto Allée Maryse Condé, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Turn right, Distance: 25.7 meters, Time: 18.5 seconds
Name: Rue des Coudraies, Instruction: Turn left onto Rue des Coudraies, Distance: 41.5 meters, Time: 29.9 seconds
Name: Rue des Coudraies, Instruction: Keep right onto Rue des Coudraies, Distance: 9.1 meters, Time: 6.6 seconds
Name: Rue des Coudraies, Instruction: Turn right onto Rue des Coudraies, Distance: 98.8 meters, Time: 71.1 seconds
Name: Rue des Longues Raies, Instruction: Turn slight left onto Rue des Longues Raies, Distance: 52.6 meters, Time: 37.9 seconds
Name: Rue des Longues Raies, Instruction: Keep right onto Rue des Longues Raies, Distance: 24.1 meters, Time: 17.3 seconds
Name: Passerelle Valmy, Instruction: Turn sharp left onto Passerelle Valmy, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 99.1 meters, Time: 71.4 seconds
Name: -, Instruction: Turn slight left, Distance: 133.7 meters, Time: 96.3 seconds
Name: -, Instruction: Turn slight right, Distance: 59.2 meters, Time: 42.6 seconds
Name: -, Instruction: Turn left, Distance: 263.0 meters, Time: 189.4 seconds
Name: -, Instruction: Turn slight right, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 63.1 meters, Time: 45.4 seconds
Name: -, Instruction: Keep right, Distance: 85.7 meters, Time: 61.7 seconds
Name: Place Carpeaux, Instruction: Turn slight left onto Place Carpeaux, Distance: 10.5 meters, Time: 7.6 seconds
Name: Place Carpeaux, Instruction: Continue straight onto Place Carpeaux, Distance: 52.6 meters, Time: 37.9 seconds
Name: -, Instruction: Turn left, Distance: 104.7 meters, Time: 75.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
