Name: 赤塚公園通り, Instruction: Head east on 赤塚公園通り, Distance: 47.1 meters, Time: 33.9 seconds
Name: -, Instruction: Turn right, Distance: 47.2 meters, Time: 34.0 seconds
Name: -, Instruction: Turn left, Distance: 118.5 meters, Time: 85.4 seconds
Name: -, Instruction: Turn right, Distance: 250.6 meters, Time: 180.5 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.2 seconds
Name: 西台中学校前歩道橋, Instruction: Turn right onto 西台中学校前歩道橋, Distance: 32.3 meters, Time: 23.3 seconds
Name: -, Instruction: Turn left, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 96.6 meters, Time: 69.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 42.7 meters, Time: 30.8 seconds
Name: -, Instruction: Keep right, Distance: 39.1 meters, Time: 28.2 seconds
Name: -, Instruction: Keep left, Distance: 566.4 meters, Time: 407.8 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Keep left, Distance: 33.0 meters, Time: 23.8 seconds
Name: -, Instruction: Turn right, Distance: 426.1 meters, Time: 306.8 seconds
Name: -, Instruction: Keep right, Distance: 297.0 meters, Time: 213.8 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 167.1 meters, Time: 120.3 seconds
Name: -, Instruction: Turn left, Distance: 85.0 meters, Time: 61.2 seconds
Name: -, Instruction: Turn left, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 205.3 meters, Time: 147.8 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 35.9 meters, Time: 25.8 seconds
Name: -, Instruction: Turn left, Distance: 67.0 meters, Time: 48.2 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
