Name: Memorial Park Avenue, Instruction: Head east on Memorial Park Avenue, Distance: 86.2 meters, Time: 62.0 seconds
Name: Coxwell Avenue, Instruction: Turn right onto Coxwell Avenue, Distance: 50.3 meters, Time: 36.2 seconds
Name: Barker Avenue, Instruction: Turn left onto Barker Avenue, Distance: 891.7 meters, Time: 642.0 seconds
Name: Woodbine Avenue, Instruction: Turn left onto Woodbine Avenue, Distance: 11.2 meters, Time: 8.0 seconds
Name: Barker Avenue, Instruction: Turn right onto Barker Avenue, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 347.0 meters, Time: 249.8 seconds
Name: Gledhill Avenue, Instruction: Turn left onto Gledhill Avenue, Distance: 36.6 meters, Time: 26.4 seconds
Name: -, Instruction: Turn right, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 60.7 meters, Time: 43.7 seconds
Name: -, Instruction: Turn left, Distance: 42.9 meters, Time: 30.9 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
