Name: Chandler Lane, Instruction: Head east on Chandler Lane, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 33.8 meters, Time: 24.4 seconds
Name: -, Instruction: Keep right, Distance: 478.7 meters, Time: 344.6 seconds
Name: -, Instruction: Continue straight, Distance: 531.7 meters, Time: 382.8 seconds
Name: -, Instruction: Turn slight left, Distance: 177.7 meters, Time: 127.9 seconds
Name: -, Instruction: Turn right, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn left, Distance: 69.1 meters, Time: 49.8 seconds
Name: -, Instruction: Turn slight right, Distance: 77.5 meters, Time: 55.8 seconds
Name: -, Instruction: Continue straight, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Continue straight, Distance: 512.6 meters, Time: 369.0 seconds
Name: -, Instruction: Keep left, Distance: 495.6 meters, Time: 356.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
