Name: Norfolk Street, Instruction: Head north on Norfolk Street, Distance: 93.7 meters, Time: 67.5 seconds
Name: Hickson Street, Instruction: Continue straight onto Hickson Street, Distance: 58.7 meters, Time: 42.3 seconds
Name: -, Instruction: Turn right, Distance: 62.3 meters, Time: 44.9 seconds
Name: -, Instruction: Turn left, Distance: 677.6 meters, Time: 487.9 seconds
Name: -, Instruction: Turn right, Distance: 260.2 meters, Time: 187.4 seconds
Name: -, Instruction: Keep right, Distance: 208.0 meters, Time: 149.8 seconds
Name: -, Instruction: Turn slight right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Keep left, Distance: 112.9 meters, Time: 81.3 seconds
Name: -, Instruction: Keep right, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn slight left, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 77.3 meters, Time: 55.6 seconds
Name: -, Instruction: Keep left, Distance: 257.4 meters, Time: 185.4 seconds
Name: -, Instruction: Turn right, Distance: 91.9 meters, Time: 66.2 seconds
Name: Radford Avenue, Instruction: Turn left onto Radford Avenue, Distance: 5.5 meters, Time: 4.0 seconds
Name: Indian Road, Instruction: Turn right onto Indian Road, Distance: 77.3 meters, Time: 55.7 seconds
Name: Indian Trail, Instruction: Turn left onto Indian Trail, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 128.7 meters, Time: 92.7 seconds
Name: -, Instruction: Turn right, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Turn left, Distance: 228.1 meters, Time: 164.3 seconds
Name: -, Instruction: Keep left, Distance: 28.0 meters, Time: 20.1 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Keep right, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
