Name: Rue George Balanchine, Instruction: Head southwest on Rue George Balanchine, Distance: 40.9 meters, Time: 29.4 seconds
Name: Rue Jean Arp, Instruction: Turn right onto Rue Jean Arp, Distance: 68.7 meters, Time: 49.5 seconds
Name: -, Instruction: Turn left, Distance: 134.5 meters, Time: 96.9 seconds
Name: -, Instruction: Turn slight left, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 388.7 meters, Time: 279.8 seconds
Name: -, Instruction: Keep right, Distance: 164.4 meters, Time: 118.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 106.9 meters, Time: 77.0 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 153.8 meters, Time: 110.8 seconds
Name: Allée Django Reinhardt, Instruction: Turn right onto Allée Django Reinhardt, Distance: 40.8 meters, Time: 29.4 seconds
Name: Allée Django Reinhardt, Instruction: Turn right onto Allée Django Reinhardt, Distance: 72.3 meters, Time: 52.1 seconds
Name: -, Instruction: Turn left, Distance: 75.6 meters, Time: 54.5 seconds
Name: -, Instruction: Turn left, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Turn right, Distance: 152.3 meters, Time: 109.6 seconds
Name: -, Instruction: Turn left, Distance: 62.8 meters, Time: 45.2 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: Rue Nicolas Fortin, Instruction: Turn right onto Rue Nicolas Fortin, Distance: 152.4 meters, Time: 109.7 seconds
Name: -, Instruction: Arrive at Rue Nicolas Fortin, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
