Name: 谷端川緑道, Instruction: Head north on 谷端川緑道, Distance: 171.9 meters, Time: 123.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Turn left, Distance: 52.4 meters, Time: 37.7 seconds
Name: -, Instruction: Turn right, Distance: 70.6 meters, Time: 50.8 seconds
Name: -, Instruction: Turn right, Distance: 144.0 meters, Time: 103.7 seconds
Name: -, Instruction: Turn left, Distance: 35.5 meters, Time: 25.5 seconds
Name: -, Instruction: Turn right, Distance: 29.8 meters, Time: 21.4 seconds
Name: -, Instruction: Turn left, Distance: 85.8 meters, Time: 61.8 seconds
Name: -, Instruction: Turn right, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Turn right, Distance: 1.0 meters, Time: 0.8 seconds
Name: -, Instruction: Turn left, Distance: 60.5 meters, Time: 43.5 seconds
Name: -, Instruction: Turn left, Distance: 86.1 meters, Time: 62.0 seconds
Name: -, Instruction: Turn right, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn left, Distance: 157.8 meters, Time: 113.6 seconds
Name: -, Instruction: Turn left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 103.0 meters, Time: 74.2 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
