Name: Rakaia Rise, Instruction: Head south on Rakaia Rise, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 88.5 meters, Time: 63.7 seconds
Name: -, Instruction: Turn right, Distance: 25.2 meters, Time: 18.1 seconds
Name: -, Instruction: Turn left, Distance: 81.1 meters, Time: 58.4 seconds
Name: -, Instruction: Turn right, Distance: 80.3 meters, Time: 57.8 seconds
Name: Rotoma Rise, Instruction: Turn right onto Rotoma Rise, Distance: 118.8 meters, Time: 85.5 seconds
Name: Charntay Avenue, Instruction: Turn left onto Charntay Avenue, Distance: 501.6 meters, Time: 361.2 seconds
Name: Diorella Drive, Instruction: Turn right onto Diorella Drive, Distance: 102.1 meters, Time: 73.5 seconds
Name: Almay Place, Instruction: Turn left onto Almay Place, Distance: 128.9 meters, Time: 92.8 seconds
Name: Almay Place, Instruction: Continue straight onto Almay Place, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Arrive at Almay Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
