Name: 市場通り, Instruction: Head east on 市場通り, Distance: 55.8 meters, Time: 40.2 seconds
Name: -, Instruction: Turn left, Distance: 82.7 meters, Time: 59.5 seconds
Name: -, Instruction: Turn right, Distance: 121.9 meters, Time: 87.8 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Turn left, Distance: 405.7 meters, Time: 292.1 seconds
Name: -, Instruction: Turn slight right, Distance: 29.1 meters, Time: 21.0 seconds
Name: -, Instruction: Keep right, Distance: 74.7 meters, Time: 53.8 seconds
Name: -, Instruction: Turn right, Distance: 44.4 meters, Time: 31.9 seconds
Name: -, Instruction: Turn left, Distance: 106.8 meters, Time: 76.9 seconds
Name: -, Instruction: Turn right, Distance: 97.8 meters, Time: 70.4 seconds
Name: -, Instruction: Turn left, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Turn right, Distance: 98.8 meters, Time: 71.1 seconds
Name: -, Instruction: Turn left, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 46.7 meters, Time: 33.6 seconds
Name: -, Instruction: Turn left, Distance: 35.9 meters, Time: 25.8 seconds
Name: -, Instruction: Turn right, Distance: 120.4 meters, Time: 86.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
