Name: Mannerim Place, Instruction: Head north on Mannerim Place, Distance: 18.7 meters, Time: 13.4 seconds
Name: Deepwater Road, Instruction: Turn left onto Deepwater Road, Distance: 529.7 meters, Time: 381.4 seconds
Name: Deepwater Road, Instruction: Enter the roundabout and take the 1st exit onto Deepwater Road, Distance: 493.4 meters, Time: 355.2 seconds
Name: Castle Cove Drive, Instruction: Enter the roundabout and take the 1st exit onto Castle Cove Drive, Distance: 597.1 meters, Time: 429.9 seconds
Name: Eastern Valley Way, Instruction: Turn left onto Eastern Valley Way, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 63.1 meters, Time: 45.4 seconds
Name: -, Instruction: Turn right, Distance: 205.5 meters, Time: 148.0 seconds
Name: -, Instruction: Turn slight right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 115.9 meters, Time: 83.4 seconds
Name: Alleyne Street, Instruction: Turn left onto Alleyne Street, Distance: 1.7 meters, Time: 1.3 seconds
Name: Smith Street, Instruction: Enter the roundabout and take the 1st exit onto Smith Street, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Arrive at Smith Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
