Name: Aspiring Avenue, Instruction: Head west on Aspiring Avenue, Distance: 271.4 meters, Time: 195.4 seconds
Name: Rakaia Rise, Instruction: Turn left onto Rakaia Rise, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 88.5 meters, Time: 63.7 seconds
Name: -, Instruction: Turn right, Distance: 25.2 meters, Time: 18.1 seconds
Name: -, Instruction: Turn left, Distance: 467.6 meters, Time: 336.7 seconds
Name: Hollyford Drive, Instruction: Turn right onto Hollyford Drive, Distance: 18.2 meters, Time: 13.1 seconds
Name: Redoubt Road, Instruction: Turn slight right onto Redoubt Road, Distance: 486.5 meters, Time: 350.3 seconds
Name: Redoubt Road, Instruction: Keep right onto Redoubt Road, Distance: 451.2 meters, Time: 324.9 seconds
Name: -, Instruction: Keep right, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn right, Distance: 227.6 meters, Time: 163.8 seconds
Name: Gladding Place, Instruction: Turn sharp right onto Gladding Place, Distance: 161.0 meters, Time: 115.9 seconds
Name: -, Instruction: Turn right, Distance: 27.6 meters, Time: 19.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
