Name: 小豆沢通り, Instruction: Head southwest on 小豆沢通り, Distance: 55.7 meters, Time: 40.1 seconds
Name: -, Instruction: Turn left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn left, Distance: 50.0 meters, Time: 36.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 60.0 meters, Time: 43.2 seconds
Name: -, Instruction: Turn right, Distance: 32.0 meters, Time: 23.1 seconds
Name: -, Instruction: Turn left, Distance: 70.3 meters, Time: 50.6 seconds
Name: -, Instruction: Turn left, Distance: 98.3 meters, Time: 70.8 seconds
Name: -, Instruction: Turn right, Distance: 87.8 meters, Time: 63.2 seconds
Name: -, Instruction: Turn left, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Turn right, Distance: 137.2 meters, Time: 98.8 seconds
Name: -, Instruction: Keep left, Distance: 77.8 meters, Time: 56.0 seconds
Name: -, Instruction: Continue straight, Distance: 108.8 meters, Time: 78.3 seconds
Name: -, Instruction: Turn left, Distance: 47.8 meters, Time: 34.4 seconds
Name: -, Instruction: Turn right, Distance: 206.0 meters, Time: 148.4 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn slight left, Distance: 396.9 meters, Time: 285.7 seconds
Name: -, Instruction: Turn slight left, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Keep left, Distance: 424.8 meters, Time: 305.8 seconds
Name: 富士見街道, Instruction: Turn right onto 富士見街道, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Turn left, Distance: 44.0 meters, Time: 31.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
