Name: Labatt Avenue, Instruction: Head west on Labatt Avenue, Distance: 29.8 meters, Time: 21.5 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 98.0 meters, Time: 70.6 seconds
Name: -, Instruction: Turn left, Distance: 13.8 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Keep right, Distance: 203.8 meters, Time: 146.7 seconds
Name: Sumach Street, Instruction: Turn left onto Sumach Street, Distance: 321.2 meters, Time: 231.2 seconds
Name: -, Instruction: Turn right, Distance: 61.7 meters, Time: 44.5 seconds
Name: -, Instruction: Turn left, Distance: 426.3 meters, Time: 306.9 seconds
Name: -, Instruction: Turn left, Distance: 158.7 meters, Time: 114.2 seconds
Name: -, Instruction: Turn slight right, Distance: 141.1 meters, Time: 101.6 seconds
Name: -, Instruction: Keep right, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Keep left, Distance: 241.2 meters, Time: 173.7 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 482.3 meters, Time: 347.2 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
